,fips,cluster,long,lat,deaths,clusterDeaths,state,county,clusterLat,clusterLong,distance
126,32015.0,7,-116.94321000000001,40.520911,0,123,ClusterState,cluster7,39.755534008130084,-117.5279761300813,0.963199546601891
103,41025.0,8,-118.98673799999999,43.522141,0,101,ClusterState,cluster8,43.730982356435646,-118.72128922772278,0.33775399755052476
124,41045.0,8,-117.062987,43.971312,0,101,ClusterState,cluster8,43.730982356435646,-118.72128922772278,1.6756266338436119
129,16075.0,8,-116.894281,44.020334000000005,2,101,ClusterState,cluster8,43.730982356435646,-118.72128922772278,1.849779294348409
128,16087.0,8,-116.919922,44.297897999999996,0,101,ClusterState,cluster8,43.730982356435646,-118.72128922772278,1.8884695486111576
102,41023.0,8,-119.001015,44.450864,0,101,ClusterState,cluster8,43.730982356435646,-118.72128922772278,0.7723186443541324
117,41001.0,8,-117.76548700000001,44.779398,0,101,ClusterState,cluster8,43.730982356435646,-118.72128922772278,1.4187083069434216
16,41071.0,9,-123.14044799999999,45.237712,7,106,ClusterState,cluster9,45.51691603773585,-122.53655299056604,0.6653150209541613
35,41005.0,9,-122.57415,45.363365,9,106,ClusterState,cluster9,45.51691603773585,-122.53655299056604,0.1580868631738027
6,41057.0,9,-123.858675,45.467428000000005,0,106,ClusterState,cluster9,45.51691603773585,-122.53655299056604,1.3230478727954853
25,41067.0,9,-122.87064099999999,45.48421,12,106,ClusterState,cluster9,45.51691603773585,-122.53655299056604,0.33568509492070303
33,41051.0,9,-122.588705,45.517889000000004,53,106,ClusterState,cluster9,45.51691603773585,-122.53655299056604,0.052161084570474
75,41055.0,9,-120.726192,45.522409,0,106,ClusterState,cluster9,45.51691603773585,-122.53655299056604,1.8103693238667313
65,41065.0,9,-121.20259399999999,45.536003,1,106,ClusterState,cluster9,45.51691603773585,-122.53655299056604,1.3340955365491851
59,41027.0,9,-121.56313200000001,45.655533,0,106,ClusterState,cluster9,45.51691603773585,-122.53655299056604,0.9832411134110929
36,53011.0,9,-122.561881,45.679487,23,106,ClusterState,cluster9,45.51691603773585,-122.53655299056604,0.16453214225001833
93,41049.0,10,-119.61275800000001,45.730088,0,153,ClusterState,cluster10,46.356812032679734,-119.40437755555556,0.6604584943546534
68,53039.0,10,-121.132931,45.797495,3,153,ClusterState,cluster10,46.356812032679734,-119.40437755555556,1.8167918299426646
105,41059.0,10,-118.952064,45.798618,1,153,ClusterState,cluster10,46.356812032679734,-119.40437755555556,0.7184484189269136
110,53071.0,10,-118.39018200000001,46.077821,2,153,ClusterState,cluster10,46.356812032679734,-119.40437755555556,1.051869108408611
97,53005.0,10,-119.276099,46.229003999999996,51,153,ClusterState,cluster10,46.356812032679734,-119.40437755555556,0.18108086876554402
99,53021.0,10,-119.11931000000001,46.304218,16,153,ClusterState,cluster10,46.356812032679734,-119.40437755555556,0.2898786703155813
