fips,long,lat
2068,-149.032949,63.882845
2070,-158.718472,59.136256
2090,-147.624018,64.831552
2100,-135.559897,59.264125
2105,-135.384163,58.078282
2110,-134.530605,58.358516
2122,-151.064475,60.292592
2130,-131.678527,55.367858
2150,-152.460881,57.779137
2164,-156.371652,58.557351
2170,-149.421961,61.611281
2180,-165.295491,64.457026
2185,-154.862085,70.522779
2188,-161.638185,66.943735
2195,-133.115025,56.812712
2198,-132.560842,55.448164
2201,-132.60169,55.469758
2220,-135.337171,57.062746
2230,-135.311501,59.464536
2232,-135.33448,58.415975
2240,-144.687024,63.856185
2261,-145.882504,61.26149
2270,-164.314723,62.089902
2275,-132.310837,56.385821
2280,-132.85609,56.683148
2282,-139.724878,59.547975
2290,-152.550423,65.010262
4001,-109.41484,35.577687
4003,-110.063053,31.607357
4005,-111.590056,35.514426
4007,-111.007494,33.82356
4009,-109.812181,32.86733
4011,-109.248712,32.970402
4012,-114.172146,33.908361
4013,-112.04143,33.493403
4015,-114.249634,35.069679
4017,-110.211155,34.893625
4019,-110.96001,32.216707
4021,-111.588364,33.060133
4023,-110.943195,31.434733
4025,-112.267767,34.629014
4027,-114.598663,32.65004
5001,-91.461284,34.405316
5003,-91.87136,33.179373
5005,-92.383933,36.332208
5007,-94.230543,36.337348
5009,-93.099344,36.267871
5011,-92.103312,33.569321
5013,-92.495555,33.591116
5015,-93.570816,36.373069
5017,-91.318378,33.32186
5019,-93.124856,34.094705
5021,-90.372418,36.370695
5023,-92.037481,35.510232
5025,-92.139146,33.914989
5027,-93.247459,33.258045
5029,-92.70416,35.214487
5031,-90.669325,35.835235
5033,-94.28436,35.496882
5035,-90.217261,35.17736
5037,-90.775307,35.252833
5039,-92.527123,33.869213
5041,-91.417485,33.773838
5043,-91.781779,33.6274
5045,-92.405359,35.104918
5047,-93.885464,35.446102
5049,-91.764934,36.376787
5051,-93.081852,34.505811
5053,-92.412714,34.309174
5055,-90.523016,36.07312
5057,-93.623587,33.699647
5059,-92.894595,34.353464
5061,-93.910184,33.983198
5063,-91.607539,35.749801
5065,-91.908429,36.120217
5067,-91.246233,35.621102
5069,-92.041179,34.233473
5071,-93.475517,35.475272
5073,-93.557538,33.287629
5075,-91.065733,36.070224
5077,-90.774516,34.785214
5079,-91.746234,33.975379
5081,-94.195995,33.700518
5083,-93.768119,35.227532
5085,-91.970577,34.905178
